Background,Immune cells,plasma,Fibro(loose),Fibro(dense,regular),Fibro(dense,irregular),lining,vessel,vessel(large),adipose,Stroma,muscle,RBC,unused13
310048992,39523,17291,664701,68297,359068,150571,63083,64207,490318,8189,14970,44708,0
25810,3065145,14684,149504,464,110813,5242,4753,14,1446,2451,10,1547,0
148,21337,394948,75045,0,16525,146,1523,1,146,474,4,29,0
735664,165733,278029,77386877,136121,1528337,202535,253299,102370,1128253,3088,3749,6685,0
58531,29,1866,212020,24956078,170547,3822,18712,57,5346,141,41,21,0
225806,135570,14562,1446943,348524,50846398,109976,234296,182802,404421,38636,258,3407,0
234687,6488,3679,546536,13436,321228,4896115,5024,98,963,14236,65,910,0
79656,15213,5875,664471,87644,469660,16320,4282984,14115,43200,21936,1515,94878,0
54603,2,38,145633,3341,150846,234,2353,8090856,6816,0,51,6789,0
436472,772,2433,1282358,5460,500077,3993,31755,43251,54315350,302,557,1895,0
6172,4402,976,35756,872,24149,6960,16895,352,1836,4578870,0,1640,0
13547,0,31,8493,307,691,401,331,336,183,304,2231078,51,0
68385,997,621,18486,555,7154,1627,141927,12429,6475,4387,2230,2731136,0
