Background,Immune cells,plasma,Fibro(loose),Fibro(dense,regular),Fibro(dense,irregular),lining,vessel,vessel(large),adipose,Stroma,muscle,RBC,unused13
390625139,54260,22496,883688,87543,454715,191871,78227,81444,623253,11475,22508,56502,0
33733,3805536,19747,180875,564,158633,7118,6576,18,1785,2770,10,1787,0
153,37894,492628,99102,4,55065,193,1760,1,178,819,9,29,0
973510,206967,339149,94242149,183017,2032019,249611,304033,125034,1490574,3106,14442,8542,0
75807,40,2876,306520,31129829,279954,5475,24695,198,6613,141,157,207,0
287442,184827,25140,1922497,497952,62712263,136141,307409,227098,540991,41111,275,6235,0
298897,6949,6283,668434,14206,401047,5929545,10219,98,1212,16329,65,1121,0
98246,20334,6529,822405,119689,623257,21201,5276906,40024,55682,24819,2137,120901,0
71500,2,65,186489,3350,187440,346,2805,9680069,7509,0,51,7858,0
551787,943,3028,1661121,7700,642029,5441,42127,50596,67610438,302,557,2102,0
9505,5657,1934,42189,1338,26038,9679,18524,367,1967,5857968,0,2300,0
15912,0,37,10091,499,823,712,349,393,198,322,2902209,57,0
84285,1179,902,22720,747,8867,1883,177779,13645,7105,7718,2703,3622415,0
